"ID","SITE_NO","NAME","SUPERVISOR_ID","DAILY_TARGET","OT_TYPE","SERVICE_TYPE","SITE_TYPE","CREATED_AT","UPDATED_AT"
37,"HNB035","HNB INSURANCE",,0,"time_based","Insurance Policy","Insurance","2026-03-05 12:35:49","2026-03-20 09:30:33"
38,"AMI036","AMANA INSURANCE",122,0,"time_based","Insurance Policy","Insurance","2026-03-05 12:36:29","2026-03-31 10:34:47"
39,"JSI037","JANASHAKTHI LIFE",121,0,"target_based","Insurance Policy","Insurance","2026-03-05 12:36:58","2026-04-24 10:27:16"
40,"SLI038","SOFTLOGIC INSURANCE",123,0,"time_based","Insurance Policy","Insurance","2026-03-05 12:37:30","2026-03-31 10:42:13"
82,"HNBA46","HNB ASSURANCE",,0,"staff_outsource","Staff outsource","Insurance","2026-04-02 12:24:38","2026-04-02 12:24:38"
42,"SLS039","SOFTLOGIC SCANNING",132,0,"time_based","Scanning","Insurance","2026-03-19 16:49:38","2026-04-02 12:56:29"
43,"SLW040","SOFTLOGIC WARDPLACE",133,0,"time_based","Data entry","Insurance","2026-03-19 16:50:10","2026-04-02 12:56:44"
45,"NTB042","Nations Trust Bank",,0,"target_based","Scanning","Bank","2026-03-20 11:02:00","2026-03-20 11:12:27"
62,"UNAL44","UNION ASSURANCE - LETTER",14,0,"time_based","Insurance Policy","Insurance","2026-03-23 13:08:00","2026-03-23 13:08:00"
81,"JSL045","JANASHAKTHI LETTER",124,0,"time_based","Data entry","Insurance","2026-03-31 11:36:09","2026-03-31 11:36:09"
102,"AVD049","Avery Dennison",,0,"staff_outsource","Staff outsource","","2026-04-07 08:52:20","2026-04-07 09:03:08"
103,"ABN050","Abans Online Verification",,400,"target_based","Data entry","Finance","2026-04-07 09:08:41","2026-04-07 09:14:06"
121,"DFCC041","DFCC BANK",183,0,"target_based","Scanning","Bank","2026-04-09 17:24:02","2026-04-10 08:41:41"
