"ID","SITE_ID","STAFF_ID","TASK_DATE","IN_TIME","OUT_TIME","COUNT","OT_TYPE","INVOICE_PRICE","TASK_DESCRIPTION","TARGET","PAY_UNIT_PRICE","CREATED_AT","UPDATED_AT"
1109,7,18,"2026-04-09","06:15","17:30",1023,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-10 13:23:43","2026-04-10 13:23:43"
1110,7,19,"2026-04-09","08:00","18:24",1038,"time_based",2.5,"AROGYA A4 Images single side				",0,0,"2026-04-10 13:24:47","2026-04-10 13:24:47"
1111,7,20,"2026-04-09","07:30","17:30",662,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-10 13:25:31","2026-04-10 13:25:31"
1112,7,21,"2026-04-09","07:30","17:30",887,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-10 13:26:08","2026-04-10 13:26:08"
1113,7,125,"2026-04-09","08:00","18:00",1005,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-10 13:27:08","2026-04-10 13:27:08"
1114,15,43,"2026-04-09","","",111,"target_based",3.25,"BILLING CARDS",0,0,"2026-04-10 13:27:46","2026-04-10 13:27:46"
1115,15,43,"2026-04-09","","",162,"target_based",3.23,"ENDOSCOPIES",0,0,"2026-04-10 13:27:56","2026-04-10 13:27:56"
1116,27,86,"2026-04-09","","",26,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-10 13:29:15","2026-04-10 13:29:15"
1117,27,86,"2026-04-09","","",889,"target_based",0,"UPLODING ",0,0,"2026-04-10 13:29:33","2026-04-10 13:29:33"
1118,27,83,"2026-04-09","","",1110,"target_based",0,"UPLODING ",0,0,"2026-04-10 13:29:59","2026-04-10 13:29:59"
1119,27,85,"2026-04-09","","",1258,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-10 13:30:26","2026-04-10 13:30:26"
1120,25,127,"2026-04-07","","",570,"target_based",4.5,"Converting Physical Documents to digital Images using book scanner (Bounded documents and A3 size)			",0,0,"2026-04-10 13:36:08","2026-04-23 10:32:57"
1121,25,127,"2026-04-08","","",410,"target_based",4.5,"Converting Physical Documents to digital Images using book scanner (Bounded documents and A3 size)			",0,0,"2026-04-10 13:36:23","2026-04-23 10:33:10"
1122,11,27,"2026-04-10","08:27","17:02",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-10 15:46:26","2026-04-10 15:46:26"
1123,11,28,"2026-04-10","08:15","17:01",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-10 15:47:05","2026-04-10 15:47:05"
1124,11,29,"2026-04-10","08:27","17:02",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-10 15:47:45","2026-04-10 15:47:45"
1125,11,30,"2026-04-10","08:35","17:03",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-10 15:48:20","2026-04-10 15:48:20"
1126,11,47,"2026-04-10","09:00","20:30",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-10 15:49:31","2026-04-10 15:49:31"
1132,14,39,"2026-04-09","","",130,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 15:53:44","2026-04-10 15:53:44"
1133,14,40,"2026-04-09","","",162,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 15:53:59","2026-04-10 15:53:59"
1134,14,41,"2026-04-09","","",76,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 15:54:13","2026-04-10 15:54:13"
1135,14,42,"2026-04-09","","",111,"target_based",5.5,"Scaning						",0,0,"2026-04-10 15:54:29","2026-04-10 15:54:29"
1136,14,42,"2026-04-09","","",20,"target_based",2.5,"Scanning of GRN Lists 			",0,0,"2026-04-10 15:54:44","2026-04-10 15:54:44"
1137,14,161,"2026-04-09","","",111,"target_based",0,"Preparation",0,0,"2026-04-10 15:54:58","2026-04-10 15:54:58"
1138,30,89,"2026-04-10","08:30","17:00",0,"time_based",2,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",0,0,"2026-04-10 16:27:07","2026-04-10 16:27:07"
1139,83,184,"2026-04-08","","",608,"target_based",3.75,"Scanning",0,0,"2026-04-10 16:38:23","2026-04-10 16:38:23"
1140,83,184,"2026-04-08","","",6,"target_based",0,"File",0,0,"2026-04-10 16:38:32","2026-04-10 16:38:32"
1141,27,83,"2026-04-10","","",511,"target_based",0,"UPLODING ",0,0,"2026-04-10 16:41:07","2026-04-10 16:41:07"
1142,27,86,"2026-04-10","","",948,"target_based",0,"UPLODING ",0,0,"2026-04-10 16:41:38","2026-04-10 16:41:38"
1143,27,85,"2026-04-10","","",907,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-10 16:41:59","2026-04-10 16:41:59"
1144,27,84,"2026-04-10","","",1010,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-10 16:42:30","2026-04-10 16:42:30"
1145,83,184,"2026-04-10","","",504,"target_based",3.75,"Scanning",0,0,"2026-04-10 16:43:26","2026-04-10 16:43:26"
1146,83,184,"2026-04-10","","",6,"target_based",0,"File",0,0,"2026-04-10 16:43:40","2026-04-10 16:43:40"
1147,83,162,"2026-04-10","","",573,"target_based",3.75,"Scanning",0,0,"2026-04-10 16:44:28","2026-04-10 16:44:28"
1148,83,162,"2026-04-10","","",9,"target_based",0,"File",0,0,"2026-04-10 16:44:39","2026-04-10 16:44:39"
1149,33,92,"2026-04-10","","",3181,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-10 16:47:51","2026-04-10 16:47:51"
1150,14,39,"2026-04-10","","",151,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 16:54:47","2026-04-10 16:54:47"
1151,14,40,"2026-04-10","","",232,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 16:55:00","2026-04-10 16:55:00"
1152,14,41,"2026-04-10","","",106,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 16:55:18","2026-04-10 16:55:18"
1153,14,42,"2026-04-10","","",369,"target_based",5.5,"Scaning						",0,0,"2026-04-10 16:55:29","2026-04-10 16:55:29"
1154,14,161,"2026-04-10","","",495,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 16:55:43","2026-04-10 16:55:43"
1155,14,163,"2026-04-10","","",145,"target_based",10,"MIRO Updating ",0,0,"2026-04-10 16:56:07","2026-04-10 16:56:07"
1156,33,77,"2026-04-10","","",2224,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-10 17:01:10","2026-04-10 17:01:10"
1157,20,61,"2026-04-10","","",621,"target_based",2.4,"SCANNING 			",0,0,"2026-04-10 17:04:18","2026-04-10 17:04:18"
1158,20,110,"2026-04-10","","",446,"target_based",2.4,"SCANNING 			",0,0,"2026-04-10 17:04:36","2026-04-10 17:04:36"
1159,32,16,"2026-04-10","","",794,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-10 17:09:00","2026-04-10 17:09:00"
1160,32,90,"2026-04-10","","",810,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-10 17:09:29","2026-04-10 17:09:29"
1016,6,106,"2026-04-08","","",70,"target_based",0,"File",0,0,"2026-04-09 10:40:47","2026-04-09 10:40:47"
1017,6,107,"2026-04-08","","",723,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-09 10:52:27","2026-04-09 10:52:27"
1018,6,107,"2026-04-08","","",70,"target_based",0,"File",0,0,"2026-04-09 10:52:41","2026-04-09 10:52:41"
1019,6,108,"2026-04-08","","",708,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-09 10:53:17","2026-04-09 10:53:17"
1020,6,108,"2026-04-08","","",64,"target_based",0,"File",0,0,"2026-04-09 10:53:34","2026-04-09 10:53:34"
1021,6,109,"2026-04-08","","",778,"target_based",2.74,"""Scanning and indexing service for Leasing Applications – A4 & Below Indexes: Facility Number Output :200dpi / B&W/ PDF""				",0,0,"2026-04-09 10:54:06","2026-04-09 10:54:06"
1022,6,109,"2026-04-08","","",70,"target_based",0,"File",0,0,"2026-04-09 10:54:27","2026-04-09 10:54:27"
1023,14,39,"2026-04-08","","",16,"target_based",10,"MIRO Updating ",0,0,"2026-04-09 11:02:50","2026-04-09 11:02:50"
1024,14,39,"2026-04-08","","",147,"target_based",0,"Preparation",0,0,"2026-04-09 11:03:17","2026-04-09 11:03:17"
1025,14,40,"2026-04-08","","",17,"target_based",10,"MIRO Updating ",0,0,"2026-04-09 11:03:29","2026-04-09 11:03:29"
1026,14,40,"2026-04-08","","",250,"target_based",0,"Preparation",0,0,"2026-04-09 11:03:41","2026-04-09 11:03:41"
1027,83,162,"2026-04-08","","",1023,"target_based",3.75,"Scanning",0,0,"2026-04-09 11:03:49","2026-04-09 11:03:49"
1028,14,41,"2026-04-08","","",172,"target_based",0,"Preparation",0,0,"2026-04-09 11:03:54","2026-04-09 11:03:54"
1029,14,42,"2026-04-08","","",1142,"target_based",5.5,"Scaning						",0,0,"2026-04-09 11:04:17","2026-04-09 11:04:17"
1030,83,162,"2026-04-08","","",12,"target_based",0,"File",0,0,"2026-04-09 11:04:19","2026-04-09 11:04:19"
1031,14,161,"2026-04-08","","",1073,"target_based",0,"Preparation",0,0,"2026-04-09 11:04:45","2026-04-09 11:04:45"
1032,83,136,"2026-04-08","","",974,"target_based",3.75,"Scanning",0,0,"2026-04-09 11:04:48","2026-04-09 11:04:48"
1033,83,136,"2026-04-08","","",12,"target_based",0,"File",0,0,"2026-04-09 11:05:01","2026-04-09 11:05:01"
1058,35,97,"2026-04-09","","",2278,"target_based",1.8,"Document scanning and digitizing 				",0,0,"2026-04-09 17:28:25","2026-04-09 17:28:25"
1059,35,98,"2026-04-09","","",2410,"target_based",1.8,"Document scanning and digitizing 				",0,0,"2026-04-09 17:28:38","2026-04-09 17:28:38"
1038,15,43,"2026-04-08","","",321,"target_based",3.25,"SUMMARY COUNT",0,0,"2026-04-09 11:37:32","2026-04-09 11:37:32"
1039,15,43,"2026-04-08","","",83,"target_based",3.23,"ENDOSCOPIES",0,0,"2026-04-09 11:37:46","2026-04-09 11:37:46"
1040,7,18,"2026-04-08","06:15","17:30",1025,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-09 11:38:52","2026-04-09 11:38:52"
1041,7,19,"2026-04-08","08:00","18:10",1019,"time_based",2.5,"AROGYA A4 Images single side				",0,0,"2026-04-09 11:39:38","2026-04-09 11:39:38"
1042,7,20,"2026-04-08","07:30","17:30",748,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-09 11:40:22","2026-04-09 11:40:22"
1043,7,21,"2026-04-08","07:30","17:30",753,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-09 11:41:02","2026-04-09 11:41:02"
1044,7,125,"2026-04-08","08:00","18:00",1200,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-09 11:41:46","2026-04-09 11:41:46"
1045,27,85,"2026-04-08","","",1110,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-09 11:42:54","2026-04-09 11:42:54"
1046,27,86,"2026-04-08","","",256,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-09 11:43:14","2026-04-09 11:43:14"
1047,11,27,"2026-04-09","08:33","17:03",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-09 16:17:29","2026-04-09 16:17:29"
1048,11,28,"2026-04-09","08:16","17:01",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-09 16:18:27","2026-04-09 16:18:27"
1049,11,29,"2026-04-09","08:25","17:02",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-09 16:19:10","2026-04-09 16:19:10"
1050,11,30,"2026-04-09","10:02","17:00",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-09 16:19:59","2026-04-09 16:19:59"
1051,11,47,"2026-04-09","08:50","19:00",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-09 16:22:00","2026-04-09 16:22:00"
1052,30,78,"2026-04-09","","",705,"time_based",2,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",0,0,"2026-04-09 16:56:18","2026-04-09 16:56:18"
1053,30,89,"2026-04-09","","",326,"time_based",2,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",0,0,"2026-04-09 16:56:43","2026-04-09 16:56:43"
1054,32,16,"2026-04-09","","",854,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-09 17:00:53","2026-04-09 17:00:53"
1055,32,90,"2026-04-09","","",494,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-09 17:01:09","2026-04-09 17:01:09"
1056,32,91,"2026-04-09","","",624,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-09 17:01:32","2026-04-09 17:01:32"
1057,33,77,"2026-04-09","","",2505,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-09 17:04:34","2026-04-09 17:04:34"
1060,34,96,"2026-04-09","","",177,"target_based",0,"File",0,0,"2026-04-09 17:40:45","2026-04-09 17:40:45"
1061,34,96,"2026-04-09","","",539,"target_based",0,"Scanning",0,0,"2026-04-09 17:40:58","2026-04-09 17:40:58"
1062,34,96,"2026-04-09","","",522,"target_based",0,"Exel",0,0,"2026-04-09 17:41:10","2026-04-09 17:41:10"
1063,33,92,"2026-04-09","","",2348,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-09 17:47:51","2026-04-09 17:47:51"
1064,18,102,"2026-04-09","","",2564,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-09 17:49:49","2026-04-09 17:49:49"
1065,18,102,"2026-04-09","","",40,"target_based",0,"File",0,0,"2026-04-09 17:50:17","2026-04-09 17:50:17"
1066,18,128,"2026-04-09","","",2564,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-09 17:50:32","2026-04-09 17:50:32"
1067,18,128,"2026-04-09","","",40,"target_based",0,"File",0,0,"2026-04-09 17:50:50","2026-04-09 17:50:50"
1068,18,130,"2026-04-09","","",15,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-09 17:51:07","2026-04-09 17:51:07"
1069,121,113,"2026-04-02","","",831,"target_based",2.3,"Mandate Scanning And Digitizing",0,0,"2026-04-10 08:40:27","2026-04-10 08:40:27"
1070,121,183,"2026-04-02","","",400,"target_based",0,"PREPARATION",0,0,"2026-04-10 08:42:34","2026-04-10 08:42:34"
1071,121,183,"2026-04-03","","",1017,"target_based",2.3,"Mandate Scanning And Digitizing",0,0,"2026-04-10 08:42:58","2026-04-10 08:42:58"
1072,121,113,"2026-04-03","","",517,"target_based",0,"PREPARATION",0,0,"2026-04-10 08:44:07","2026-04-10 08:44:07"
1073,121,113,"2026-04-07","","",298,"target_based",2.3,"Mandate Scanning And Digitizing",0,0,"2026-04-10 08:44:37","2026-04-10 08:44:37"
1074,121,183,"2026-04-07","","",84,"target_based",0,"PREPARATION",0,0,"2026-04-10 08:44:57","2026-04-10 08:44:57"
1075,121,113,"2026-04-08","","",200,"target_based",0,"PREPARATION",0,0,"2026-04-10 08:45:18","2026-04-10 08:45:18"
1076,121,183,"2026-04-08","","",400,"target_based",2.3,"Mandate Scanning And Digitizing",0,0,"2026-04-10 08:45:30","2026-04-10 08:45:30"
1077,121,113,"2026-04-09","","",365,"target_based",2.3,"Mandate Scanning And Digitizing",0,0,"2026-04-10 08:45:48","2026-04-10 08:45:48"
1078,121,183,"2026-04-09","","",165,"target_based",0,"PREPARATION",0,0,"2026-04-10 08:46:12","2026-04-10 08:46:12"
1085,82,135,"2026-04-09","08:21","18:00",0,"time_based",1928.57,"Staff outsourcing ",0,0,"2026-04-10 09:32:14","2026-04-10 09:32:14"
1084,82,181,"2026-04-09","08:00","17:10",0,"time_based",1928.57,"Staff outsourcing ",0,0,"2026-04-10 09:31:48","2026-04-10 09:31:48"
1086,82,140,"2026-04-09","08:21","22:00",0,"time_based",1928.57,"Staff outsourcing ",0,0,"2026-04-10 09:32:49","2026-04-10 09:32:49"
1082,101,17,"2026-04-09","","",1285,"target_based",4.1,"Scanning",0,0,"2026-04-10 09:30:10","2026-04-10 09:30:10"
1083,101,17,"2026-04-09","","",31,"target_based",0,"File",0,0,"2026-04-10 09:30:20","2026-04-10 09:30:20"
1087,102,165,"2026-04-09","07:45","19:15",0,"time_based",2362.5,"Staff outsourcing Per Person			",0,0,"2026-04-10 09:34:05","2026-04-10 09:34:05"
951,7,21,"2026-04-04","07:30","17:30",823,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:39:25","2026-04-08 14:39:25"
952,7,125,"2026-04-04","08:00","18:00",971,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-08 14:40:34","2026-04-08 14:40:34"
953,7,12,"2026-04-04","08:00","19:00",0,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:41:42","2026-04-08 14:41:42"
954,7,20,"2026-04-05","","",1501,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:44:07","2026-04-08 14:44:07"
955,7,21,"2026-04-05","","",1500,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:44:23","2026-04-08 14:44:23"
956,7,18,"2026-04-06","06:15","17:30",1025,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-08 14:46:58","2026-04-08 14:46:58"
957,7,19,"2026-04-06","08:00","18:10",1030,"time_based",2.5,"AROGYA A4 Images single side				",0,0,"2026-04-08 14:48:24","2026-04-08 14:48:24"
958,7,20,"2026-04-06","07:30","17:30",751,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:49:32","2026-04-08 14:49:32"
959,7,21,"2026-04-06","07:30","17:30",1078,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:50:33","2026-04-08 14:50:33"
960,7,125,"2026-04-06","08:00","18:00",1400,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-08 14:52:46","2026-04-08 14:52:46"
961,7,12,"2026-04-06","08:00","19:00",0,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 14:53:45","2026-04-08 14:53:45"
962,7,18,"2026-04-07","06:15","17:30",1070,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-08 15:07:32","2026-04-08 15:07:32"
963,7,19,"2026-04-07","08:00","18:10",1060,"time_based",2.5,"AROGYA A4 Images single side				",0,0,"2026-04-08 15:09:28","2026-04-08 15:09:28"
964,7,20,"2026-04-07","07:30","17:30",721,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 15:10:59","2026-04-08 15:10:59"
965,7,21,"2026-04-07","07:30","17:30",843,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 15:11:55","2026-04-08 15:11:55"
966,7,125,"2026-04-07","08:00","18:00",1100,"time_based",2.5,"MATHURITY A4 Images single side				",0,0,"2026-04-08 15:12:49","2026-04-08 15:12:49"
967,7,12,"2026-04-07","08:00","19:00",0,"time_based",2.5,"LIFE A4  Images single side				",0,0,"2026-04-08 15:13:44","2026-04-08 15:13:44"
968,15,43,"2026-04-06","","",375,"target_based",3.23,"ENDOSCOPIES",0,0,"2026-04-08 15:23:21","2026-04-08 15:23:21"
969,15,43,"2026-04-07","","",175,"target_based",3.25,"BILLING CARDS",0,0,"2026-04-08 15:24:28","2026-04-08 15:24:28"
970,27,85,"2026-04-07","","",1208,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-08 15:29:18","2026-04-08 15:29:18"
971,27,84,"2026-04-07","","",1002,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-08 15:29:53","2026-04-08 15:29:53"
972,27,86,"2026-04-07","","",945,"target_based",2.9,"DOCUMENT SCANNING A4",0,0,"2026-04-08 15:30:11","2026-04-08 15:30:11"
973,11,27,"2026-04-08","08:32","17:03",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-08 16:01:45","2026-04-08 16:01:45"
974,11,28,"2026-04-08","08:05","17:01",0,"time_based",0.8,"1.2 VERIFICATION OF CONTRIBUTION AMOUNT",0,0,"2026-04-08 16:02:20","2026-04-08 16:02:20"
975,11,29,"2026-04-08","08:25","17:05",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-08 16:02:53","2026-04-08 16:02:53"
976,11,30,"2026-04-08","08:57","17:30",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-08 16:05:02","2026-04-08 16:05:02"
977,11,47,"2026-04-08","08:55","17:30",0,"time_based",1.65,"2.1 DATA ENTRY WITH VERIFICATION OF PAYMENT YEAR AND MONTH",0,0,"2026-04-08 16:06:04","2026-04-08 16:06:04"
978,30,89,"2026-04-08","","",321,"time_based",2,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",0,0,"2026-04-08 16:40:19","2026-04-08 16:40:19"
979,30,78,"2026-04-08","","",0,"time_based",2,"Singhagiri Agreements Checking, NIC Number and data entry to excel report 				 				",0,0,"2026-04-08 16:40:46","2026-04-08 16:40:46"
980,32,16,"2026-04-08","","",898,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-08 16:54:24","2026-04-08 16:54:24"
981,32,90,"2026-04-08","","",817,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-08 16:54:37","2026-04-08 16:54:37"
982,32,91,"2026-04-08","","",645,"target_based",10,"SCM3 Verification agreements count - Physical                              				",0,0,"2026-04-08 16:54:54","2026-04-08 16:54:54"
983,33,77,"2026-04-08","","",2606,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-08 17:00:12","2026-04-08 17:00:12"
984,33,92,"2026-04-08","","",2881,"target_based",2.4,"Document scanning and digitizing 				",0,0,"2026-04-08 17:00:31","2026-04-08 17:00:31"
985,101,17,"2026-04-08","","",1238,"target_based",4.1,"Scanning",0,0,"2026-04-08 17:13:13","2026-04-08 17:13:13"
986,101,17,"2026-04-08","","",31,"target_based",0,"File",0,0,"2026-04-08 17:13:25","2026-04-08 17:13:25"
987,35,97,"2026-04-08","","",2059,"target_based",1.8,"Document scanning and digitizing 				",0,0,"2026-04-08 17:14:22","2026-04-08 17:14:22"
988,35,98,"2026-04-08","","",2698,"target_based",1.8,"Document scanning and digitizing 				",0,0,"2026-04-08 17:14:45","2026-04-08 17:14:45"
989,18,102,"2026-04-08","","",1369,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-08 17:39:59","2026-04-08 17:39:59"
990,18,102,"2026-04-08","","",22,"target_based",0,"File",0,0,"2026-04-08 17:40:15","2026-04-08 17:40:15"
991,18,128,"2026-04-08","","",1811,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-08 17:40:35","2026-04-08 17:40:35"
992,18,128,"2026-04-08","","",25,"target_based",0,"File",0,0,"2026-04-08 17:40:50","2026-04-08 17:40:50"
993,18,130,"2026-04-08","","",752,"target_based",3,"Converting Physical Documents to DIGITAL Images - A4 image 				",0,0,"2026-04-08 17:41:28","2026-04-08 17:41:28"
994,18,130,"2026-04-08","","",9,"target_based",0,"File",0,0,"2026-04-08 17:41:43","2026-04-08 17:41:43"
995,34,96,"2026-04-06","","",534,"target_based",0,"Exel",0,0,"2026-04-09 09:24:44","2026-04-09 09:24:44"
996,34,96,"2026-04-06","","",188,"target_based",0,"File",0,0,"2026-04-09 09:24:56","2026-04-09 09:24:56"
997,34,96,"2026-04-07","","",272,"target_based",0,"File",0,0,"2026-04-09 09:25:27","2026-04-09 09:27:35"
998,34,96,"2026-04-07","","",821,"target_based",0,"Scanning",0,0,"2026-04-09 09:25:41","2026-04-09 09:27:51"
